id bigserial;origen_libro_id;origen_capitulo;origen_versiculo;destino_libro_id;destino_capitulo;destino_versiculo;llave_unica text
;10;10;1;13;19;1;10_10_1_13_19_1
;10;10;1;13;19;19;10_10_1_13_19_19
;10;10;1;7;10;7;10_10_1_7_10_7
;10;10;1;7;10;9;10_10_1_7_10_9
;10;10;1;7;11;12;10_10_1_7_11_12
;10;10;1;7;11;28;10_10_1_7_11_28
;10;10;1;9;11;1;10_10_1_9_11_1
;10;10;1;9;11;3;10_10_1_9_11_3
;10;10;11;13;19;12;10_10_11_13_19_12
;10;10;11;13;19;9;10_10_11_13_19_9
;10;10;11;16;4;20;10_10_11_16_4_20
;10;10;11;42;22;32;10_10_11_42_22_32
;10;10;11;45;15;1;10_10_11_45_15_1
;10;10;11;48;6;2;10_10_11_48_6_2
;10;10;11;50;1;27;10_10_11_50_1_27
;10;10;11;50;1;28;10_10_11_50_1_28
;10;10;12;10;16;10;10_10_12_10_16_10
;10;10;12;10;16;11;10_10_12_10_16_11
;10;10;12;13;19;13;10_10_12_13_19_13
;10;10;12;14;32;7;10_10_12_14_32_7
;10;10;12;16;4;14;10_10_12_16_4_14
;10;10;12;18;1;21;10_10_12_18_1_21
;10;10;12;4;13;20;10_10_12_4_13_20
;10;10;12;46;16;13;10_10_12_46_16_13
;10;10;12;5;31;6;10_10_12_5_31_6
;10;10;12;58;13;6;10_10_12_58_13_6
;10;10;12;6;1;18;10_10_12_6_1_18
;10;10;12;6;1;6;10_10_12_6_1_6
;10;10;12;6;1;7;10_10_12_6_1_7
;10;10;12;6;1;9;10_10_12_6_1_9
;10;10;12;7;10;15;10_10_12_7_10_15
;10;10;12;9;14;12;10_10_12_9_14_12
;10;10;12;9;14;6;10_10_12_9_14_6
;10;10;12;9;17;32;10_10_12_9_17_32
;10;10;12;9;3;18;10_10_12_9_3_18
;10;10;12;9;4;9;10_10_12_9_4_9
;10;10;13;11;20;13;10_10_13_11_20_13
;10;10;13;11;20;21;10_10_13_11_20_21
;10;10;13;11;20;28;10_10_13_11_20_28
;10;10;13;11;20;30;10_10_13_11_20_30
;10;10;13;13;19;14;10_10_13_13_19_14
;10;10;13;13;19;15;10_10_13_13_19_15
;10;10;13;14;13;16;10_10_13_14_13_16
;10;10;13;14;13;5;10_10_13_14_13_5
;10;10;15;19;2;1;10_10_15_19_2_1
;10;10;15;23;8;10;10_10_15_23_8_10
;10;10;15;23;8;9;10_10_15_23_8_9
;10;10;15;33;4;11;10_10_15_33_4_11
;10;10;15;33;4;12;10_10_15_33_4_12
;10;10;15;38;14;2;10_10_15_38_14_2
;10;10;15;38;14;3;10_10_15_38_14_3
;10;10;15;66;19;19;10_10_15_66_19_19
;10;10;15;66;19;21;10_10_15_66_19_21
;10;10;16;10;8;3;10_10_16_10_8_3
;10;10;16;10;8;8;10_10_16_10_8_8
;10;10;16;13;18;3;10_10_16_13_18_3
;10;10;16;13;18;5;10_10_16_13_18_5
;10;10;16;13;19;16;10_10_16_13_19_16
;10;10;17;13;19;17;10_10_17_13_19_17
;10;10;18;10;8;4;10_10_18_10_8_4
;10;10;18;13;19;18;10_10_18_13_19_18
;10;10;18;19;18;38;10_10_18_19_18_38
;10;10;18;19;46;11;10_10_18_19_46_11
;10;10;18;7;4;2;10_10_18_7_4_2
;10;10;18;7;4;22;10_10_18_7_4_22
;10;10;18;7;5;26;10_10_18_7_5_26
;10;10;19;10;8;6;10_10_19_10_8_6
;10;10;19;11;20;1;10_10_19_11_20_1
;10;10;19;1;14;1;10_10_19_1_14_1
;10;10;19;1;14;5;10_10_19_1_14_5
;10;10;19;13;19;19;10_10_19_13_19_19
;10;10;19;19;18;37;10_10_19_19_18_37
;10;10;19;19;18;38;10_10_19_19_18_38
;10;10;19;19;48;4;10_10_19_19_48_4
;10;10;19;19;48;5;10_10_19_19_48_5
;10;10;19;23;26;11;10_10_19_23_26_11
;10;10;19;27;2;37;10_10_19_27_2_37
;10;10;19;6;11;10;10_10_19_6_11_10
;10;10;19;66;18;10;10_10_19_66_18_10
;10;10;19;7;1;7;10_10_19_7_1_7
;10;10;2;16;13;1;10_10_2_16_13_1
;10;10;2;16;13;3;10_10_2_16_13_3
;10;10;2;16;4;3;10_10_2_16_4_3
;10;10;2;16;4;7;10_10_2_16_4_7
;10;10;2;5;23;3;10_10_2_5_23_3
;10;10;2;5;23;6;10_10_2_5_23_6
;10;10;2;9;11;1;10_10_2_9_11_1
;10;10;2;9;22;3;10_10_2_9_22_3
;10;10;2;9;22;4;10_10_2_9_22_4
;10;10;3;1;42;16;10_10_3_1_42_16
;10;10;3;1;42;9;10_10_3_1_42_9
;10;10;3;46;13;5;10_10_3_46_13_5
;10;10;3;46;13;7;10_10_3_46_13_7
;10;10;4;13;19;3;10_10_4_13_19_3
;10;10;4;13;19;4;10_10_4_13_19_4
;10;10;4;19;109;4;10_10_4_19_109_4
;10;10;4;19;109;5;10_10_4_19_109_5
;10;10;4;23;15;2;10_10_4_23_15_2
;10;10;4;23;20;4;10_10_4_23_20_4
;10;10;4;23;47;2;10_10_4_23_47_2
;10;10;4;23;47;3;10_10_4_23_47_3
;10;10;4;24;41;5;10_10_4_24_41_5
;10;10;4;3;19;27;10_10_4_3_19_27
;10;10;5;11;16;34;10_10_5_11_16_34
;10;10;5;13;19;5;10_10_5_13_19_5
;10;10;5;6;6;24;10_10_5_6_6_24
;10;10;5;6;6;26;10_10_5_6_6_26
;10;10;6;10;8;12;10_10_6_10_8_12
;10;10;6;10;8;3;10_10_6_10_8_3
;10;10;6;10;8;5;10_10_6_10_8_5
;10;10;6;13;19;6;10_10_6_13_19_6
;10;10;6;13;19;7;10_10_6_13_19_7
;10;10;6;1;34;30;10_10_6_1_34_30
;10;10;6;20;25;8;10_10_6_20_25_8
;10;10;6;23;8;10;10_10_6_23_8_10
;10;10;6;23;8;9;10_10_6_23_8_9
;10;10;6;2;5;21;10_10_6_2_5_21
;10;10;6;5;3;14;10_10_6_5_3_14
;10;10;6;6;13;11;10_10_6_6_13_11
;10;10;6;6;13;13;10_10_6_6_13_13
;10;10;6;7;11;3;10_10_6_7_11_3
;10;10;6;7;11;5;10_10_6_7_11_5
;10;10;6;7;18;28;10_10_6_7_18_28
;10;10;6;9;13;4;10_10_6_9_13_4
;10;10;6;9;27;12;10_10_6_9_27_12
;10;10;7;10;23;39;10_10_7_10_23_39
;10;10;7;10;23;8;10_10_7_10_23_8
;10;10;7;13;19;19;10_10_7_13_19_19
;10;10;7;13;19;8;10_10_7_13_19_8
;10;10;8;10;10;6;10_10_8_10_10_6
;10;10;8;13;19;7;10_10_8_13_19_7
;10;10;8;4;13;21;10_10_8_4_13_21
